0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1
1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0
0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0
0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0
0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1
0.24,0.84,3.98,3.11,-4.22,2.05,2.47,-3.89,2.29,-4.28,-2.85,3.05,-1.66,1.75,3.52,2.39,0.75,-2.59,-4.36,-2.54
-2.32,-1.67,0.93,0.26,1.94,-4.06,1.95,-1.73,0.89,-1.3,-0.22,1.62,0.27,0.5,2.5,-1.07,-2.18,-2.64,3.94,2.44
0.6,3.71,1.93,-0.11,1.06,0.36,0.26,-1.71,-2.49,-1.49,0.47,1.04,1.84,-1.44,-3.5,1.15,-1.12,-1.54,0.59,0.43
-0.14,0.18,-2.46,-3.04,0.54,-0.82,3.9,-0.84,1.49,-0.72,1.94,-1.15,0.7,-1.34,1.99,-1.39,-1.46,-0.85,3.44,0.04
1.3,-2.65,0.75,-0.25,-0.62,-0.38,0.09,0.26,0.31,0.84,-0.98,-1.61,2,0.66,-0.17,0.67,-0.4,-0.02,-1.59,-1.47